a,b,c,triplets_mapped,co
18,20,19,"(18, 20, 19)",26
23,22,21,"(23, 22, 21)",26
19,20,18,"(19, 20, 18)",26
23,21,22,"(23, 21, 22)",26
25,4,24,"(25, 4, 24)",25
4,27,26,"(4, 27, 26)",25
25,24,4,"(25, 24, 4)",25
4,26,27,"(4, 26, 27)",25
24,25,4,"(24, 25, 4)",25
27,4,26,"(27, 4, 26)",25
27,26,4,"(27, 26, 4)",25
26,4,27,"(26, 4, 27)",25
26,27,4,"(26, 27, 4)",25
24,4,25,"(24, 4, 25)",25
4,25,24,"(4, 25, 24)",25
4,24,25,"(4, 24, 25)",25
22,23,28,"(22, 23, 28)",24
23,22,28,"(23, 22, 28)",24
23,28,21,"(23, 28, 21)",24
23,21,28,"(23, 21, 28)",24
23,28,22,"(23, 28, 22)",24
22,21,28,"(22, 21, 28)",24
28,22,21,"(28, 22, 21)",24
22,28,23,"(22, 28, 23)",24
28,23,21,"(28, 23, 21)",24
30,31,29,"(30, 31, 29)",24
29,30,31,"(29, 30, 31)",24
28,21,22,"(28, 21, 22)",24
28,21,23,"(28, 21, 23)",24
22,28,21,"(22, 28, 21)",24
29,31,30,"(29, 31, 30)",24
31,30,29,"(31, 30, 29)",24
28,22,23,"(28, 22, 23)",24
30,29,31,"(30, 29, 31)",24
31,29,30,"(31, 29, 30)",24
28,23,22,"(28, 23, 22)",24
21,28,22,"(21, 28, 22)",24
21,28,23,"(21, 28, 23)",24
21,22,28,"(21, 22, 28)",24
21,23,28,"(21, 23, 28)",24
33,32,34,"(33, 32, 34)",23
35,1,2,"(35, 1, 2)",23
35,2,1,"(35, 2, 1)",23
1,35,2,"(1, 35, 2)",23
37,36,38,"(37, 36, 38)",23
1,2,35,"(1, 2, 35)",23
33,34,32,"(33, 34, 32)",23
40,39,41,"(40, 39, 41)",23
40,41,39,"(40, 41, 39)",23
2,1,35,"(2, 1, 35)",23
36,38,37,"(36, 38, 37)",23
39,40,41,"(39, 40, 41)",23
36,37,38,"(36, 37, 38)",23
39,41,40,"(39, 41, 40)",23
32,33,34,"(32, 33, 34)",23
2,35,1,"(2, 35, 1)",23
38,37,36,"(38, 37, 36)",23
5,42,6,"(5, 42, 6)",23
5,6,42,"(5, 6, 42)",23
6,5,42,"(6, 5, 42)",23
6,42,5,"(6, 42, 5)",23
42,5,6,"(42, 5, 6)",23
42,6,5,"(42, 6, 5)",23
34,32,33,"(34, 32, 33)",23
37,38,36,"(37, 38, 36)",23
34,33,32,"(34, 33, 32)",23
32,34,33,"(32, 34, 33)",23
41,39,40,"(41, 39, 40)",23
38,36,37,"(38, 36, 37)",23
41,40,39,"(41, 40, 39)",23
43,44,45,"(43, 44, 45)",22
44,45,43,"(44, 45, 43)",22
45,43,44,"(45, 43, 44)",22
45,44,43,"(45, 44, 43)",22
43,45,44,"(43, 45, 44)",22
44,43,45,"(44, 43, 45)",22
46,30,31,"(46, 30, 31)",22
30,46,31,"(30, 46, 31)",22
47,2,0,"(47, 2, 0)",22
31,30,46,"(31, 30, 46)",22
46,31,30,"(46, 31, 30)",22
2,0,47,"(2, 0, 47)",22
31,46,30,"(31, 46, 30)",22
2,47,0,"(2, 47, 0)",22
30,31,46,"(30, 31, 46)",22
0,47,2,"(0, 47, 2)",22
48,0,2,"(48, 0, 2)",22
48,2,0,"(48, 2, 0)",22
0,48,2,"(0, 48, 2)",22
0,2,48,"(0, 2, 48)",22
0,2,47,"(0, 2, 47)",22
2,48,0,"(2, 48, 0)",22
2,0,48,"(2, 0, 48)",22
47,0,2,"(47, 0, 2)",22
49,2,0,"(49, 2, 0)",21
52,51,50,"(52, 51, 50)",21
49,0,2,"(49, 0, 2)",21
0,2,49,"(0, 2, 49)",21
55,53,54,"(55, 53, 54)",21
0,49,2,"(0, 49, 2)",21
2,0,49,"(2, 0, 49)",21
2,49,0,"(2, 49, 0)",21
53,55,54,"(53, 55, 54)",21
57,26,56,"(57, 26, 56)",21
26,56,57,"(26, 56, 57)",21
57,56,26,"(57, 56, 26)",21
53,54,55,"(53, 54, 55)",21
2,0,12,"(2, 0, 12)",21
2,12,0,"(2, 12, 0)",21
0,2,12,"(0, 2, 12)",21
0,12,2,"(0, 12, 2)",21
12,2,0,"(12, 2, 0)",21
12,0,2,"(12, 0, 2)",21
26,57,56,"(26, 57, 56)",21
55,54,53,"(55, 54, 53)",21
54,53,55,"(54, 53, 55)",21
56,57,26,"(56, 57, 26)",21
52,50,51,"(52, 50, 51)",21
51,52,50,"(51, 52, 50)",21
50,52,51,"(50, 52, 51)",21
56,26,4,"(56, 26, 4)",21
56,4,26,"(56, 4, 26)",21
26,56,4,"(26, 56, 4)",21
26,4,56,"(26, 4, 56)",21
54,55,53,"(54, 55, 53)",21
4,26,56,"(4, 26, 56)",21
56,26,57,"(56, 26, 57)",21
4,56,26,"(4, 56, 26)",21
50,51,52,"(50, 51, 52)",21
51,50,52,"(51, 50, 52)",21
10,2,4,"(10, 2, 4)",20
10,4,2,"(10, 4, 2)",20
10,0,12,"(10, 0, 12)",20
12,10,0,"(12, 10, 0)",20
12,0,10,"(12, 0, 10)",20
0,10,12,"(0, 10, 12)",20
0,12,10,"(0, 12, 10)",20
2,4,10,"(2, 4, 10)",20
2,10,4,"(2, 10, 4)",20
4,2,10,"(4, 2, 10)",20
4,10,2,"(4, 10, 2)",20
52,58,42,"(52, 58, 42)",20
10,12,0,"(10, 12, 0)",20
58,42,52,"(58, 42, 52)",20
58,52,42,"(58, 52, 42)",20
42,58,52,"(42, 58, 52)",20
42,52,58,"(42, 52, 58)",20
52,42,58,"(52, 42, 58)",20
1,14,2,"(1, 14, 2)",19
2,14,1,"(2, 14, 1)",19
1,2,14,"(1, 2, 14)",19
56,57,4,"(56, 57, 4)",19
56,4,57,"(56, 4, 57)",19
2,1,14,"(2, 1, 14)",19
14,2,1,"(14, 2, 1)",19
60,35,59,"(60, 35, 59)",19
35,60,59,"(35, 60, 59)",19
60,59,35,"(60, 59, 35)",19
14,1,2,"(14, 1, 2)",19
4,26,57,"(4, 26, 57)",19
57,26,4,"(57, 26, 4)",19
26,57,4,"(26, 57, 4)",19
26,4,57,"(26, 4, 57)",19
4,57,56,"(4, 57, 56)",19
59,60,35,"(59, 60, 35)",19
59,35,60,"(59, 35, 60)",19
57,56,4,"(57, 56, 4)",19
35,59,60,"(35, 59, 60)",19
4,56,57,"(4, 56, 57)",19
4,57,26,"(4, 57, 26)",19
57,4,26,"(57, 4, 26)",19
57,4,56,"(57, 4, 56)",19
35,3,2,"(35, 3, 2)",18
61,36,38,"(61, 36, 38)",18
41,40,62,"(41, 40, 62)",18
62,40,41,"(62, 40, 41)",18
41,62,40,"(41, 62, 40)",18
64,63,65,"(64, 63, 65)",18
3,35,2,"(3, 35, 2)",18
38,61,36,"(38, 61, 36)",18
64,65,63,"(64, 65, 63)",18
62,41,40,"(62, 41, 40)",18
65,64,63,"(65, 64, 63)",18
2,35,3,"(2, 35, 3)",18
3,2,35,"(3, 2, 35)",18
15,14,66,"(15, 14, 66)",18
2,15,0,"(2, 15, 0)",18
65,63,64,"(65, 63, 64)",18
66,14,15,"(66, 14, 15)",18
63,65,64,"(63, 65, 64)",18
36,38,61,"(36, 38, 61)",18
15,0,2,"(15, 0, 2)",18
38,36,61,"(38, 36, 61)",18
61,38,36,"(61, 38, 36)",18
14,15,66,"(14, 15, 66)",18
35,2,3,"(35, 2, 3)",18
40,41,62,"(40, 41, 62)",18
15,2,0,"(15, 2, 0)",18
15,66,14,"(15, 66, 14)",18
2,3,35,"(2, 3, 35)",18
0,2,15,"(0, 2, 15)",18
14,66,15,"(14, 66, 15)",18
2,0,15,"(2, 0, 15)",18
36,61,38,"(36, 61, 38)",18
66,15,14,"(66, 15, 14)",18
40,62,41,"(40, 62, 41)",18
0,15,2,"(0, 15, 2)",18
63,64,65,"(63, 64, 65)",18
67,46,31,"(67, 46, 31)",17
10,12,48,"(10, 12, 48)",17
31,46,67,"(31, 46, 67)",17
31,67,46,"(31, 67, 46)",17
68,8,7,"(68, 8, 7)",17
10,48,12,"(10, 48, 12)",17
48,12,10,"(48, 12, 10)",17
46,31,67,"(46, 31, 67)",17
67,31,46,"(67, 31, 46)",17
48,10,12,"(48, 10, 12)",17
46,67,31,"(46, 67, 31)",17
68,8,9,"(68, 8, 9)",17
12,48,10,"(12, 48, 10)",17
9,8,68,"(9, 8, 68)",17
9,68,8,"(9, 68, 8)",17
68,7,8,"(68, 7, 8)",17
7,68,8,"(7, 68, 8)",17
8,9,68,"(8, 9, 68)",17
8,7,68,"(8, 7, 68)",17
8,68,9,"(8, 68, 9)",17
7,8,68,"(7, 8, 68)",17
8,68,7,"(8, 68, 7)",17
68,9,8,"(68, 9, 8)",17
12,10,48,"(12, 10, 48)",17
3,14,2,"(3, 14, 2)",16
9,7,68,"(9, 7, 68)",16
2,14,3,"(2, 14, 3)",16
2,3,14,"(2, 3, 14)",16
14,2,3,"(14, 2, 3)",16
31,29,69,"(31, 29, 69)",16
70,31,46,"(70, 31, 46)",16
14,3,2,"(14, 3, 2)",16
3,2,14,"(3, 2, 14)",16
46,70,31,"(46, 70, 31)",16
31,70,46,"(31, 70, 46)",16
31,46,70,"(31, 46, 70)",16
9,68,7,"(9, 68, 7)",16
68,7,9,"(68, 7, 9)",16
7,9,68,"(7, 9, 68)",16
69,31,29,"(69, 31, 29)",16
7,68,9,"(7, 68, 9)",16
68,9,7,"(68, 9, 7)",16
69,29,31,"(69, 29, 31)",16
29,69,31,"(29, 69, 31)",16
46,31,70,"(46, 31, 70)",16
71,44,45,"(71, 44, 45)",16
45,44,71,"(45, 44, 71)",16
14,35,2,"(14, 35, 2)",16
14,72,73,"(14, 72, 73)",16
66,73,14,"(66, 73, 14)",16
14,73,72,"(14, 73, 72)",16
35,2,14,"(35, 2, 14)",16
35,14,2,"(35, 14, 2)",16
14,2,35,"(14, 2, 35)",16
73,14,72,"(73, 14, 72)",16
2,14,35,"(2, 14, 35)",16
14,66,73,"(14, 66, 73)",16
14,73,66,"(14, 73, 66)",16
44,45,71,"(44, 45, 71)",16
45,71,44,"(45, 71, 44)",16
31,69,29,"(31, 69, 29)",16
73,66,14,"(73, 66, 14)",16
72,73,14,"(72, 73, 14)",16
73,72,14,"(73, 72, 14)",16
66,14,73,"(66, 14, 73)",16
73,14,66,"(73, 14, 66)",16
70,46,31,"(70, 46, 31)",16
72,14,73,"(72, 14, 73)",16
71,45,44,"(71, 45, 44)",16
44,71,45,"(44, 71, 45)",16
2,35,14,"(2, 35, 14)",16
29,31,69,"(29, 31, 69)",16
0,74,2,"(0, 74, 2)",15
42,38,36,"(42, 38, 36)",15
71,44,43,"(71, 44, 43)",15
43,71,44,"(43, 71, 44)",15
0,2,74,"(0, 2, 74)",15
43,71,45,"(43, 71, 45)",15
45,71,43,"(45, 71, 43)",15
43,44,71,"(43, 44, 71)",15
36,38,42,"(36, 38, 42)",15
2,0,74,"(2, 0, 74)",15
43,45,71,"(43, 45, 71)",15
74,2,0,"(74, 2, 0)",15
74,0,2,"(74, 0, 2)",15
71,45,43,"(71, 45, 43)",15
42,36,38,"(42, 36, 38)",15
44,43,71,"(44, 43, 71)",15
71,43,44,"(71, 43, 44)",15
38,42,36,"(38, 42, 36)",15
38,36,42,"(38, 36, 42)",15
71,43,45,"(71, 43, 45)",15
44,71,43,"(44, 71, 43)",15
36,42,38,"(36, 42, 38)",15
2,74,0,"(2, 74, 0)",15
45,43,71,"(45, 43, 71)",15
32,33,75,"(32, 33, 75)",14
42,76,77,"(42, 76, 77)",14
79,78,58,"(79, 78, 58)",14
76,77,42,"(76, 77, 42)",14
33,32,75,"(33, 32, 75)",14
32,42,33,"(32, 42, 33)",14
42,77,76,"(42, 77, 76)",14
78,58,79,"(78, 58, 79)",14
78,79,58,"(78, 79, 58)",14
76,42,77,"(76, 42, 77)",14
32,75,33,"(32, 75, 33)",14
75,33,32,"(75, 33, 32)",14
75,32,33,"(75, 32, 33)",14
33,75,32,"(33, 75, 32)",14
58,79,78,"(58, 79, 78)",14
10,80,12,"(10, 80, 12)",14
65,63,56,"(65, 63, 56)",14
80,10,12,"(80, 10, 12)",14
10,2,47,"(10, 2, 47)",14
80,12,10,"(80, 12, 10)",14
10,47,2,"(10, 47, 2)",14
41,82,81,"(41, 82, 81)",14
41,81,82,"(41, 81, 82)",14
82,41,81,"(82, 41, 81)",14
65,56,63,"(65, 56, 63)",14
82,81,41,"(82, 81, 41)",14
81,41,82,"(81, 41, 82)",14
12,10,80,"(12, 10, 80)",14
81,82,41,"(81, 82, 41)",14
56,65,63,"(56, 65, 63)",14
56,63,65,"(56, 63, 65)",14
33,42,32,"(33, 42, 32)",14
63,65,56,"(63, 65, 56)",14
63,56,65,"(63, 56, 65)",14
33,32,42,"(33, 32, 42)",14
42,33,32,"(42, 33, 32)",14
42,32,33,"(42, 32, 33)",14
12,80,10,"(12, 80, 10)",14
32,33,42,"(32, 33, 42)",14
2,47,10,"(2, 47, 10)",14
77,42,76,"(77, 42, 76)",14
79,58,78,"(79, 58, 78)",14
58,78,79,"(58, 78, 79)",14
77,76,42,"(77, 76, 42)",14
10,12,80,"(10, 12, 80)",14
2,10,47,"(2, 10, 47)",14
83,46,31,"(83, 46, 31)",14
83,31,46,"(83, 31, 46)",14
46,83,31,"(46, 83, 31)",14
46,31,83,"(46, 31, 83)",14
31,83,46,"(31, 83, 46)",14
47,2,10,"(47, 2, 10)",14
31,46,83,"(31, 46, 83)",14
47,10,2,"(47, 10, 2)",14
0,1,14,"(0, 1, 14)",13
14,0,1,"(14, 0, 1)",13
0,14,1,"(0, 14, 1)",13
58,52,79,"(58, 52, 79)",13
29,46,31,"(29, 46, 31)",13
14,1,0,"(14, 1, 0)",13
58,79,52,"(58, 79, 52)",13
79,58,52,"(79, 58, 52)",13
58,52,84,"(58, 52, 84)",13
79,52,58,"(79, 52, 58)",13
52,42,85,"(52, 42, 85)",13
5,11,42,"(5, 11, 42)",13
11,42,6,"(11, 42, 6)",13
42,34,32,"(42, 34, 32)",13
11,42,5,"(11, 42, 5)",13
11,6,42,"(11, 6, 42)",13
11,5,42,"(11, 5, 42)",13
42,85,52,"(42, 85, 52)",13
42,52,85,"(42, 52, 85)",13
85,42,52,"(85, 42, 52)",13
85,52,42,"(85, 52, 42)",13
52,85,42,"(52, 85, 42)",13
86,12,4,"(86, 12, 4)",13
65,56,64,"(65, 56, 64)",13
65,64,56,"(65, 64, 56)",13
56,65,64,"(56, 65, 64)",13
56,64,65,"(56, 64, 65)",13
64,65,56,"(64, 65, 56)",13
64,56,65,"(64, 56, 65)",13
52,84,58,"(52, 84, 58)",13
52,58,84,"(52, 58, 84)",13
84,52,58,"(84, 52, 58)",13
84,58,52,"(84, 58, 52)",13
58,84,52,"(58, 84, 52)",13
5,42,11,"(5, 42, 11)",13
46,29,31,"(46, 29, 31)",13
46,31,29,"(46, 31, 29)",13
31,46,29,"(31, 46, 29)",13
86,4,12,"(86, 4, 12)",13
31,29,46,"(31, 29, 46)",13
12,86,4,"(12, 86, 4)",13
12,4,86,"(12, 4, 86)",13
52,58,79,"(52, 58, 79)",13
52,79,58,"(52, 79, 58)",13
42,6,11,"(42, 6, 11)",13
87,88,89,"(87, 88, 89)",13
87,89,88,"(87, 89, 88)",13
88,87,89,"(88, 87, 89)",13
42,5,11,"(42, 5, 11)",13
42,11,6,"(42, 11, 6)",13
88,89,87,"(88, 89, 87)",13
89,87,88,"(89, 87, 88)",13
42,11,5,"(42, 11, 5)",13
89,88,87,"(89, 88, 87)",13
6,42,11,"(6, 42, 11)",13
6,11,42,"(6, 11, 42)",13
4,86,12,"(4, 86, 12)",13
4,12,86,"(4, 12, 86)",13
42,32,34,"(42, 32, 34)",13
29,31,46,"(29, 31, 46)",13
52,58,78,"(52, 58, 78)",13
58,78,52,"(58, 78, 52)",13
4,59,12,"(4, 59, 12)",13
4,12,59,"(4, 12, 59)",13
12,59,4,"(12, 59, 4)",13
12,4,59,"(12, 4, 59)",13
11,4,90,"(11, 4, 90)",13
32,34,42,"(32, 34, 42)",13
34,42,32,"(34, 42, 32)",13
58,52,78,"(58, 52, 78)",13
11,90,4,"(11, 90, 4)",13
91,46,31,"(91, 46, 31)",13
91,31,46,"(91, 31, 46)",13
4,11,90,"(4, 11, 90)",13
4,90,11,"(4, 90, 11)",13
46,91,31,"(46, 91, 31)",13
59,4,12,"(59, 4, 12)",13
46,31,91,"(46, 31, 91)",13
78,52,58,"(78, 52, 58)",13
31,91,46,"(31, 91, 46)",13
31,46,91,"(31, 46, 91)",13
52,84,85,"(52, 84, 85)",13
52,85,84,"(52, 85, 84)",13
52,78,58,"(52, 78, 58)",13
84,52,85,"(84, 52, 85)",13
84,85,52,"(84, 85, 52)",13
90,4,11,"(90, 4, 11)",13
85,52,84,"(85, 52, 84)",13
85,84,52,"(85, 84, 52)",13
90,11,4,"(90, 11, 4)",13
59,12,4,"(59, 12, 4)",13
34,32,42,"(34, 32, 42)",13
1,0,14,"(1, 0, 14)",13
78,58,52,"(78, 58, 52)",13
32,42,34,"(32, 42, 34)",13
1,14,0,"(1, 14, 0)",13
89,88,92,"(89, 88, 92)",12
12,4,49,"(12, 4, 49)",12
12,49,4,"(12, 49, 4)",12
86,59,4,"(86, 59, 4)",12
49,4,12,"(49, 4, 12)",12
49,12,4,"(49, 12, 4)",12
41,93,40,"(41, 93, 40)",12
59,1,35,"(59, 1, 35)",12
1,59,35,"(1, 59, 35)",12
89,92,88,"(89, 92, 88)",12
8,7,94,"(8, 7, 94)",12
92,89,88,"(92, 89, 88)",12
4,12,49,"(4, 12, 49)",12
92,88,89,"(92, 88, 89)",12
88,89,92,"(88, 89, 92)",12
88,92,89,"(88, 92, 89)",12
1,35,59,"(1, 35, 59)",12
59,35,1,"(59, 35, 1)",12
59,4,86,"(59, 4, 86)",12
40,95,96,"(40, 95, 96)",12
31,29,97,"(31, 29, 97)",12
4,49,12,"(4, 49, 12)",12
41,40,93,"(41, 40, 93)",12
31,97,29,"(31, 97, 29)",12
93,41,40,"(93, 41, 40)",12
31,98,46,"(31, 98, 46)",12
99,29,31,"(99, 29, 31)",12
35,59,1,"(35, 59, 1)",12
46,31,98,"(46, 31, 98)",12
46,98,31,"(46, 98, 31)",12
99,31,29,"(99, 31, 29)",12
98,31,46,"(98, 31, 46)",12
18,100,20,"(18, 100, 20)",12
59,86,4,"(59, 86, 4)",12
98,46,31,"(98, 46, 31)",12
40,93,41,"(40, 93, 41)",12
29,99,31,"(29, 99, 31)",12
29,31,99,"(29, 31, 99)",12
18,20,100,"(18, 20, 100)",12
95,40,96,"(95, 40, 96)",12
31,99,29,"(31, 99, 29)",12
31,29,99,"(31, 29, 99)",12
40,41,93,"(40, 41, 93)",12
35,1,59,"(35, 1, 59)",12
4,59,86,"(4, 59, 86)",12
20,18,100,"(20, 18, 100)",12
93,40,41,"(93, 40, 41)",12
4,86,59,"(4, 86, 59)",12
29,97,31,"(29, 97, 31)",12
86,4,59,"(86, 4, 59)",12
31,46,98,"(31, 46, 98)",12
7,8,94,"(7, 8, 94)",12
73,87,14,"(73, 87, 14)",12
7,94,8,"(7, 94, 8)",12
14,73,87,"(14, 73, 87)",12
20,100,18,"(20, 100, 18)",12
96,40,95,"(96, 40, 95)",12
14,87,73,"(14, 87, 73)",12
100,18,20,"(100, 18, 20)",12
100,20,18,"(100, 20, 18)",12
97,29,31,"(97, 29, 31)",12
95,96,40,"(95, 96, 40)",12
94,8,7,"(94, 8, 7)",12
87,14,73,"(87, 14, 73)",12
94,7,8,"(94, 7, 8)",12
97,31,29,"(97, 31, 29)",12
87,73,14,"(87, 73, 14)",12
40,96,95,"(40, 96, 95)",12
8,94,7,"(8, 94, 7)",12
29,31,97,"(29, 31, 97)",12
96,95,40,"(96, 95, 40)",12
73,14,87,"(73, 14, 87)",12
10,4,48,"(10, 4, 48)",11
3,35,59,"(3, 35, 59)",11
3,59,35,"(3, 59, 35)",11
48,10,4,"(48, 10, 4)",11
35,3,59,"(35, 3, 59)",11
31,99,46,"(31, 99, 46)",11
101,75,32,"(101, 75, 32)",11
59,3,35,"(59, 3, 35)",11
59,35,3,"(59, 35, 3)",11
4,10,48,"(4, 10, 48)",11
10,48,4,"(10, 48, 4)",11
52,58,50,"(52, 58, 50)",11
32,101,75,"(32, 101, 75)",11
31,46,102,"(31, 46, 102)",11
79,52,78,"(79, 52, 78)",11
103,39,41,"(103, 39, 41)",11
48,4,10,"(48, 4, 10)",11
58,50,52,"(58, 50, 52)",11
4,48,10,"(4, 48, 10)",11
41,39,62,"(41, 39, 62)",11
99,46,31,"(99, 46, 31)",11
39,62,41,"(39, 62, 41)",11
42,104,52,"(42, 104, 52)",11
105,85,52,"(105, 85, 52)",11
105,52,85,"(105, 52, 85)",11
85,105,52,"(85, 105, 52)",11
85,52,105,"(85, 52, 105)",11
42,52,104,"(42, 52, 104)",11
79,78,52,"(79, 78, 52)",11
52,105,85,"(52, 105, 85)",11
52,85,105,"(52, 85, 105)",11
52,50,58,"(52, 50, 58)",11
39,103,41,"(39, 103, 41)",11
39,41,103,"(39, 41, 103)",11
31,46,99,"(31, 46, 99)",11
41,62,39,"(41, 62, 39)",11
62,39,41,"(62, 39, 41)",11
35,59,3,"(35, 59, 3)",11
0,14,3,"(0, 14, 3)",11
104,52,42,"(104, 52, 42)",11
41,39,103,"(41, 39, 103)",11
39,41,62,"(39, 41, 62)",11
62,41,39,"(62, 41, 39)",11
41,103,39,"(41, 103, 39)",11
104,42,52,"(104, 42, 52)",11
101,32,75,"(101, 32, 75)",11
75,101,32,"(75, 101, 32)",11
46,99,31,"(46, 99, 31)",11
102,31,46,"(102, 31, 46)",11
0,3,14,"(0, 3, 14)",11
52,104,42,"(52, 104, 42)",11
102,46,31,"(102, 46, 31)",11
3,14,0,"(3, 14, 0)",11
15,14,72,"(15, 14, 72)",11
3,0,14,"(3, 0, 14)",11
14,3,0,"(14, 3, 0)",11
14,0,3,"(14, 0, 3)",11
72,14,15,"(72, 14, 15)",11
72,15,14,"(72, 15, 14)",11
14,72,15,"(14, 72, 15)",11
14,15,72,"(14, 15, 72)",11
58,52,50,"(58, 52, 50)",11
15,72,14,"(15, 72, 14)",11
46,102,31,"(46, 102, 31)",11
50,52,58,"(50, 52, 58)",11
46,31,102,"(46, 31, 102)",11
50,58,52,"(50, 58, 52)",11
78,52,79,"(78, 52, 79)",11
99,31,46,"(99, 31, 46)",11
52,78,79,"(52, 78, 79)",11
78,79,52,"(78, 79, 52)",11
46,31,99,"(46, 31, 99)",11
103,41,39,"(103, 41, 39)",11
75,32,101,"(75, 32, 101)",11
31,102,46,"(31, 102, 46)",11
32,75,101,"(32, 75, 101)",11
52,42,104,"(52, 42, 104)",11
52,79,78,"(52, 79, 78)",11
68,41,40,"(68, 41, 40)",10
39,62,40,"(39, 62, 40)",10
0,106,2,"(0, 106, 2)",10
31,46,69,"(31, 46, 69)",10
48,31,99,"(48, 31, 99)",10
107,108,109,"(107, 108, 109)",10
31,99,48,"(31, 99, 48)",10
10,2,35,"(10, 2, 35)",10
110,10,12,"(110, 10, 12)",10
4,10,59,"(4, 10, 59)",10
10,59,4,"(10, 59, 4)",10
2,0,106,"(2, 0, 106)",10
10,4,59,"(10, 4, 59)",10
68,40,41,"(68, 40, 41)",10
2,106,0,"(2, 106, 0)",10
4,111,112,"(4, 111, 112)",10
4,59,10,"(4, 59, 10)",10
107,109,108,"(107, 109, 108)",10
17,14,73,"(17, 14, 73)",10
47,10,4,"(47, 10, 4)",10
0,2,106,"(0, 2, 106)",10
113,42,77,"(113, 42, 77)",10
108,109,107,"(108, 109, 107)",10
4,10,47,"(4, 10, 47)",10
40,41,68,"(40, 41, 68)",10
77,42,113,"(77, 42, 113)",10
111,4,112,"(111, 4, 112)",10
32,34,61,"(32, 34, 61)",10
17,73,14,"(17, 73, 14)",10
99,31,48,"(99, 31, 48)",10
42,77,113,"(42, 77, 113)",10
42,113,77,"(42, 113, 77)",10
10,12,110,"(10, 12, 110)",10
39,40,62,"(39, 40, 62)",10
113,77,42,"(113, 77, 42)",10
108,107,109,"(108, 107, 109)",10
40,39,62,"(40, 39, 62)",10
32,61,34,"(32, 61, 34)",10
10,110,12,"(10, 110, 12)",10
48,99,31,"(48, 99, 31)",10
111,112,4,"(111, 112, 4)",10
99,48,31,"(99, 48, 31)",10
41,40,68,"(41, 40, 68)",10
47,4,10,"(47, 4, 10)",10
64,63,56,"(64, 63, 56)",10
